"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.361137390137","101.973129272461","83.3805084228516","73.1217803955078","88.2394027709961","91.8981399536133","91.3787536621094","87.9605026245117","84.4597702026367","91.052978515625","90.1367874145508","88.275993347168","87.0175170898438","86.6800003051758",
"Belarus","BLR","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","93.3941116333008","93.9785079956055","98.0736770629883","100.87467956543","96.9914093017578","98.7808685302734","94.7992095947266","96.659912109375","100.137069702148","99.7890090942383","101.183471679688","98.7783889770508","97.8010406494141","94.839111328125","95.0402374267578","95.0618362426758","","97.5368118286133","95.7298965454102","94.2302474975586","90.8675231933594","88.392692565918","84.6329879760742","86.5879821777344","78.6803131103516","90.2456665039062","86.0270309448242","","93.5296478271484","92.060661315918","91.3535003662109","95.9449691772461","98.350959777832","105.535369873047","111.560089111328","118.78719329834","143.67155456543","108.81990814209","","106.716796875","104.347923278809","101.280471801758","95.0794219970703","97.250862121582","94.0937423706055","97.0020294189453","94.978141784668","92.4368209838867","91.7859725952148","91.0495910644531","91.1477432250977","93.2571334838867","",
"Belize","BLZ","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8104705810547","48.7366104125977","","","","50.3930015563965","51.7416381835938","53.1057014465332","","59.7623405456543","60.8267402648926","61.2305793762207","61.9754600524902","58.137809753418","54.9252891540527","59.6194801330566","60.1026191711426","62.9594116210938","64.8881683349609","65.2715835571289","63.6760902404785","67.6470565795898","70.3440399169922","67.8987121582031","68.7002334594727","70.7771377563477","70.0283432006836","76.7922134399414","61.6867790222168","",
"Bermuda","BMU","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.932090759277","105.509643554688","97.9508209228516","102.005348205566","99.6015930175781","96.8493194580078","","","","","99.0950164794922","92.121208190918","","","99.3864974975586","","","","","","","","",
"Bolivia","BOL","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","34.7132797241211","","","","","","","","","","","","","","","","","48.619270324707","51.2774314880371","49.6616592407227","59.6215705871582","61.250560760498","63.3562698364258","65.1985397338867","68.6263732910156","64.5122680664062","74.0163803100586","80.4960632324219","85.2877502441406","90.3333892822266","91.7677688598633","96.3919296264648","96.804573059082","94.2776489257812","90.3404388427734","93.2845993041992","88.2693710327148","87.1233367919922","84.7736129760742","86.0803909301758","89.0967712402344","93.6628570556641","89.9146194458008","86.6622314453125","82.9727172851562","83.1034469604492","85.5031585693359","88.3963012695312","","82.4839782714844","",
"Brazil","BRA","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","16.4520606994629","22.0611705780029","24.8816509246826","26.2137794494629","32.4308891296387","35.1462287902832","35.376651763916","35.714241027832","35.2683296203613","35.6317596435547","35.7586708068848","34.4113502502441","35.1949806213379","","36.9537887573242","34.786060333252","","37.1231002807617","","","","","46.5010986328125","46.5658187866211","47.0927391052246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.541809082031","104.939849853516","105.371788024902","98.7132415771484","100.576438903809","104.269332885742","102.584739685059","108.951080322266","107.903869628906","107.606887817383","109.510406494141","","","","","","","","","","","93.0325469970703","99.4293518066406","87.3057022094727","",
"Brunei Darussalam","BRN","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","38.1796684265137","","27.1261405944824","37.710521697998","37.885871887207","36.4849281311035","38.0226402282715","33.9560203552246","41.2124214172363","44.5912284851074","55.3898010253906","57.1656112670898","","","","","","","57.8833694458008","58.089168548584","59.1578102111816","68.4231033325195","","","","","","","","","","90.2892303466797","91.0707092285156","95.6432723999023","98.0710525512695","98.4147033691406","113.27033996582","104.908996582031","103.688003540039","107.527000427246","109.666000366211","102.682998657227","101.891998291016","99.2089996337891","100.321998596191","103.03800201416","103.106002807617","104.626930236816","","","",
"Bhutan","BTN","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","1.58329999446869","2.46531009674072","3.51694011688232","3.61176991462708","","","","","","","","","4.53726005554199","","","","","5.34724998474121","6.30063009262085","","","","18.8036994934082","20.6144504547119","24.5624694824219","32.5986404418945","","","40.1878204345703","","41.667179107666","46.4714889526367","48.0261192321777","53.027530670166","63.3269996643066","65.1910018920898","65.7710037231445","70.8515396118164","78.2433929443359","","81.4226226806641","82.0739974975586","80.8239974975586","81.359001159668","83.3199996948242","80.2529983520508","59.601001739502","",
"Botswana","BWA","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","40.4694404602051","37.840389251709","37.5848083496094","18.1478099822998","56.9219284057617","54.0342788696289","72.4375228881836","73.1402435302734","84.5475006103516","81.721061706543","81.9131011962891","","","86.0902786254883","85.0650405883789","85.7891693115234","83.8815612792969","80.7568664550781","80.5085296630859","82.258171081543","82.7153091430664","86.0786895751953","84.3724822998047","85.2858428955078","","","","89.271842956543","88.0381698608398","91.432861328125","","","","","","","","","",
"Central African Republic","CAF","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","2.49299001693726","3.28468990325928","3.01708006858826","4.4270601272583","","","","5.68522977828979","","","7.64652013778687","10.1601696014404","9.47367000579834","","","13.2716798782349","9.12576007843018","7.8499698638916","8.27225971221924","7.23396015167236","7.65531015396118","","","","","","","","","","","","","","7.78826999664307","","","","8.28649044036865","","","11.3231401443481","","","","8.83185005187988","10.9670000076294","","","","","","",
"Canada","CAN","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","53.0981292724609","88.164421081543","88.092903137207","87.7025299072266","88.6089477539062","88.6284103393555","89.897087097168","89.4026718139648","54.7183990478516","88.6705474853516","88.9841537475586","89.1434936523438","87.6526107788086","85.7314300537109","86.9042663574219","87.3423233032227","87.9795989990234","87.9748306274414","58.8057098388672","89.7005004882812","89.2030410766602","89.7660598754883","90.684440612793","91.3651428222656","92.0479965209961","90.4854125976562","91.6731185913086","92.2238616943359","91.5964202880859","91.8292388916016","92.3883590698242","92.7157516479492","93.1749877929688","93.4367904663086","93.7359085083008","91.7869720458984","92.7991409301758","92.0846176147461","93.7415237426758","97.1706008911133","96.4796981811523","99.4420928955078","94.531867980957","93.6418304443359","93.9429473876953","93.3793411254883","93.0654296875","92.4986877441406","93.2307205200195","94.5031967163086","93.6115493774414","91.5083312988281","91.5289077758789","",
"Switzerland","CHE","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0418701171875","","","","","94.2802505493164","95.4726028442383","","","95.338752746582","96.1229095458984","96.0121612548828","97.0579376220703","96.6871032714844","96.1658630371094","95.8362274169922","95.7016830444336","100.732688903809","98.255012512207","97.4379730224609","95.7273788452148","96.4398574829102","96.1076202392578","94.9443130493164","",
"Channel Islands","CHI","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","54.8775291442871","61.9733505249023","66.8831634521484","68.7969284057617","68.5835418701172","67.5181274414062","67.8228225708008","69.5450592041016","","","","","","77.350212097168","","","","","","","","","","","","","","86.8617172241211","","","","","","","","","","","","","","94.7069778442383","94.5769271850586","91.6192932128906","95.3859634399414","94.276481628418","95.1674880981445","94.7573394775391","96.2266311645508","97.0050582885742","99.4466934204102","101.479530334473","101.253898620605","",
"China","CHN","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7808418273926","58.0582618713379","62.9394187927246","64.8498764038086","61.4827308654785","61.9971504211426","61.8718185424805","64.1015396118164","","","","","","","","","","103.203399658203","102.839599609375","102.418449401855","102.298698425293","105.29239654541","104.897132873535","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","7.8176097869873","","9.8898401260376","9.33228015899658","10.2544403076172","9.6254301071167","9.93412971496582","10.4544496536255","10.8264999389648","12.0916204452515","14.1822204589844","15.3653402328491","16.5638694763184","17.0519199371338","17.2318706512451","17.294849395752","15.713809967041","15.6496801376343","15.4546098709106","15.8673295974731","18.1317596435547","16.83251953125","16.9995994567871","16.952449798584","16.7559204101562","15.9974603652954","19.8665103912354","21.0678195953369","","23.1172790527344","23.0848903656006","25.4726104736328","","","","25.1345596313477","25.1948394775391","33.1483116149902","31.9288997650146","","27.8415107727051","31.1858406066895","33.976001739502","31.1385898590088","33.1303596496582","37.427490234375","44.427661895752","47.6803817749023","50.3841514587402","54.6569595336914","55.4720001220703","57.8648300170898","56.234001159668",
"Cameroon","CMR","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","5.54961013793945","6.25134992599487","6.60768985748291","7.79500007629395","8.75265026092529","8.78806972503662","9.52793025970459","10.3344297409058","10.5545902252197","10.6464996337891","11.3636198043823","11.8091802597046","12.6472196578979","13.8554401397705","13.7440500259399","14.7537498474121","15.8874998092651","17.1360092163086","","22.700080871582","21.6235809326172","","","","","","","","","","","","22.7849998474121","","","18.7745609283447","20.1438903808594","26.5708999633789","25.0302791595459","32.7120018005371","41.4076995849609","42.4280014038086","42.7517700195312","36.8179817199707","46.377269744873","47.5099716186523","42.556999206543","41.0349998474121","37.5670013427734","36.2190017700195","35.598258972168","35.3751602172852","",
"Congo, Dem. Rep.","COD","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","12.2075500488281","13.634539604187","","13.7352600097656","","","","","","","","","","","","","","","","","","10.6824197769165","11.9237804412842","15.7152795791626","","","","","","","","","","","","","","","","","","39.329948425293","40.1842384338379","47.9922103881836","","","","","","57.4445114135742","","","",
"Congo, Rep.","COG","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","11.1404495239258","13.5494403839111","17.9139995574951","22.1721591949463","25.3108196258545","27.7961292266846","35.0099601745605","37.9992218017578","41.7044296264648","","44.6664009094238","42.4928398132324","35.1330490112305","37.5564193725586","","","35.1349182128906","","27.1040992736816","","","","33.0291213989258","24.6758995056152","","29.980770111084","","","","26.22047996521","31.7307205200195","22.9410705566406","25.7834300994873","38.072078704834","","","","40.9368896484375","42.3170890808105","41.266731262207","43.5803604125977","48.3501396179199","","","81.6070022583008","","","62.0449981689453","","","","","",
"Colombia","COL","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","33.7346496582031","37.0265808105469","38.107250213623","42.1653900146484","43.1847686767578","43.839771270752","44.3159599304199","","","","48.2457313537598","","","","","70.8083877563477","","","62.9431610107422","68.3174514770508","","74.2581634521484","79.7040328979492","82.3603820800781","84.4008331298828","86.3006591796875","92.4254913330078","94.7385330200195","92.6861801147461","89.2021331787109","75.1914215087891","76.5693130493164","76.9629974365234","77.2069091796875","77.1372375488281","78.6997604370117","79.6780624389648","79.8330993652344","85.6851425170898","83.0199279785156","",
"Comoros","COM","Lower secondary completion rate, total (% of relevant age group)","SE.SEC.CMPT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","27.9397296905518","","","","","32.5385398864746","30.2634601593018","","","20.0557403564453","","19.5082092285156","16.2373695373535","","","","","","","","","27.4836597442627","30.8472595214844","33.5138893127441","","","","","","","","","44.548698425293","47.4687004089355","","","","","","","","","",
